#::#!!I,TimeStamp::TimeStamp!!D,Markers::Markers,R3_DensMeanChannel0::R3_Fluo-4,R3_DensMeanChannel1::R3_F0,R3_Ratio::R3_Ratio values,R3_DensMeanChannel0BGCorr::R3_Fluo-4(-BG),R3_DensMeanChannel1BGCorr::R3_F0(-BG),R3_RatioBGCorr::R3_Ratio values (- BG),R2_DensMeanChannel0::R2_Fluo-4,R2_DensMeanChannel1::R2_F0,R2_Ratio::R2_Ratio values,R2_DensMeanChannel0BGCorr::R2_Fluo-4(-BG),R2_DensMeanChannel1BGCorr::R2_F0(-BG),R2_RatioBGCorr::R2_Ratio values (- BG),R1_DensMeanChannel0::R1_Fluo-4,R1_DensMeanChannel1::R1_F0,R1_Ratio::R1_Ratio values,R1_DensMeanChannel0BGCorr::R1_Fluo-4(-BG),R1_DensMeanChannel1BGCorr::R1_F0(-BG),R1_RatioBGCorr::R1_Ratio values (- BG)
,,,,,,,,,,,,,,,,,,,,
30,,,3120.061523,3090.330811,1.009620547,984.0615234,951.2999878,1.034438729,2797.295654,2732.387207,1.023755193,661.2957764,593.3565674,1.114499807,2292.679199,2351.641602,0.974927187,156.679245,212.610733,0.736930072
31,,,3088.061523,3090.330811,0.999265671,948.9846191,951.2999878,0.997566104,2764.676025,2732.387207,1.011817098,625.5991211,593.3565674,1.05433929,2290.717041,2351.641602,0.974092782,151.6400604,212.610733,0.713228583
32,,,3068.615479,3090.330811,0.992973149,928,951.2999878,0.9755072,2731.605713,2732.387207,0.999713898,590.9902344,593.3565674,0.996011972,2294.3396,2351.641602,0.975633264,153.7242432,212.610733,0.723031402
33,,,3060.492188,3090.330811,0.990344584,918.2153931,951.2999878,0.965221703,2715.436523,2732.387207,0.993796349,573.159668,593.3565674,0.965961695,2379.320801,2351.641602,1.011770129,237.0438385,212.610733,1.114919424
34,,,3045.969238,3090.330811,0.985645056,906.2769165,951.2999878,0.952672064,2698.760498,2732.387207,0.98769325,559.0682373,593.3565674,0.942212999,2435.245361,2351.641602,1.03555119,295.5529785,212.610733,1.390113115
35,,,3033.230713,3090.330811,0.981523037,896.4307861,951.2999878,0.942321837,2693.352051,2732.387207,0.985713899,556.552124,593.3565674,0.937972486,2404.150879,2351.641602,1.022328854,267.3509521,212.610733,1.257466793
36,,,3021.046143,3090.330811,0.97758019,876.7999878,951.2999878,0.921686113,2678.028076,2732.387207,0.980105639,533.7820435,593.3565674,0.899597406,2366.415039,2351.641602,1.00628221,222.1689453,212.610733,1.044956326
37,,,3013.723145,3090.330811,0.975210547,868.8615112,951.2999878,0.913341284,2678.197266,2732.387207,0.980167449,533.3356323,593.3565674,0.898845136,2336.302002,2351.641602,0.993477046,191.4403534,212.610733,0.900426507
38,,,3008.553955,3090.330811,0.973537803,868.1846313,951.2999878,0.912629664,2665.295654,2732.387207,0.975445807,524.9265137,593.3565674,0.884673059,2334.113281,2351.641602,0.99254638,193.7439728,212.610733,0.911261499
39,,,3003.446045,3090.330811,0.971885026,865.1692505,951.2999878,0.909459949,2679.549316,2732.387207,0.980662346,541.2723999,593.3565674,0.912221134,2312.226318,2351.641602,0.983239353,173.9494934,212.610733,0.818159461
40,,,3408.307617,3090.330811,1.102894187,1269.107666,951.2999878,1.334077239,2952.957764,2732.387207,1.080724478,813.7577515,593.3565674,1.371448159,2309.962158,2351.641602,0.982276559,170.7622681,212.610733,0.803168595
41,,,3518.292236,3090.330811,1.138484001,1374.538452,951.2999878,1.4449054,3026.028076,2732.387207,1.107466817,882.274353,593.3565674,1.486920953,2293.434082,2351.641602,0.975248098,149.6801147,212.610733,0.704010129
42,,,3537.31543,3090.330811,1.14463973,1399.038452,951.2999878,1.470659614,3094.422607,2732.387207,1.132497787,956.1456299,593.3565674,1.611418247,2302.641602,2351.641602,0.979163468,164.3645935,212.610733,0.773077548
43,,,3540.284668,3090.330811,1.145600557,1402.130737,951.2999878,1.473910213,3118.253418,2732.387207,1.141219378,980.0996704,593.3565674,1.651788712,2298.717041,2351.641602,0.977494657,160.5631409,212.610733,0.755197644
44,,,3495.746094,3090.330811,1.131188393,1350.82312,951.2999878,1.419975877,3137.577393,2732.387207,1.148291588,992.6543579,593.3565674,1.672947526,2293.962158,2351.641602,0.975472748,149.0391846,212.610733,0.700995564
45,,,3446.115479,3090.330811,1.115128279,1301.069214,951.2999878,1.367674947,3111.605713,2732.387207,1.138786435,966.5595093,593.3565674,1.628969073,2287.547119,2351.641602,0.972744823,142.5010223,212.610733,0.67024374
46,,,3344.092285,3090.330811,1.082114697,1207.476929,951.2999878,1.269291401,3032.788818,2732.387207,1.109941006,896.1733398,593.3565674,1.510345459,2281.509521,2351.641602,0.970177412,144.894043,212.610733,0.681499183
47,,,3254.707764,3090.330811,1.053190708,1113.723022,951.2999878,1.170737982,2942.140869,2732.387207,1.076765656,801.15625,593.3565674,1.350210428,2386.490479,2351.641602,1.014819026,245.5059509,212.610733,1.154720306
48,,,3178.730713,3090.330811,1.028605342,1043.776978,951.2999878,1.097211123,2866.591553,2732.387207,1.049116135,731.6376953,593.3565674,1.233049035,2442.717041,2351.641602,1.038728476,307.7631226,212.610733,1.447542787
49,,,3155.177002,3090.330811,1.020983577,1021.084595,951.2999878,1.073357105,2806.366211,2732.387207,1.027074814,672.2738647,593.3565674,1.133001566,2393.73584,2351.641602,1.01789999,259.6435547,212.610733,1.221215606
50,,,3113.961426,3090.330811,1.00764668,977.2846069,951.2999878,1.027314901,2762.647949,2732.387207,1.011074781,625.9709473,593.3565674,1.054965973,2364.452881,2351.641602,1.005447865,227.7759094,212.610733,1.071328282
51,,,3093.107666,3090.330811,1.0008986,958.3384399,951.2999878,1.007398725,2727.605713,2732.387207,0.998250008,592.8364258,593.3565674,0.999123394,2337.886719,2351.641602,0.994150996,203.117569,212.610733,0.955349505
52,,,3062.461426,3090.330811,0.990981817,929.4769287,951.2999878,0.977059722,2713.577393,2732.387207,0.993115962,580.5928345,593.3565674,0.978488982,2327.849121,2351.641602,0.989882648,194.8644409,212.610733,0.916531503
53,,,3043.015381,3090.330811,0.984689236,905.7846069,951.2999878,0.952154517,2697.295654,2732.387207,0.987157166,560.0650024,593.3565674,0.943892837,2310.26416,2351.641602,0.982404888,173.0333862,212.610733,0.813850641
54,,,3038.030762,3090.330811,0.983076274,898.6461792,951.2999878,0.94465065,2690.873291,2732.387207,0.984806657,551.4886475,593.3565674,0.929438829,2308.981201,2351.641602,0.981859326,169.5965118,212.610733,0.797685564
55,,,3028.738525,3090.330811,0.980069339,889.6615601,951.2999878,0.935206056,2665.802734,2732.387207,0.975631356,526.7258911,593.3565674,0.887705505,2295.018799,2351.641602,0.975922048,155.9419403,212.610733,0.733462214
56,,,3012,3090.330811,0.974652946,878.1538696,951.2999878,0.923109293,2672.563477,2732.387207,0.978105605,538.7172241,593.3565674,0.907914877,2293.434082,2351.641602,0.975248098,159.5878143,212.610733,0.750610292
